  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.367 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00693   0.00260  -0.0000   0.8337   0.8337
   0.500   0.0511   0.00700   0.00262   0.0021   0.7887   0.8742
   1.000   0.1027   0.00721   0.00271   0.0041   0.7386   0.9081
   1.500   0.1588   0.00753   0.00287   0.0050   0.6840   0.9338
   2.000   0.2178   0.00793   0.00305   0.0051   0.6256   0.9558
   2.500   0.2886   0.00840   0.00327   0.0023   0.5608   0.9695
   3.000   0.3686   0.00890   0.00349  -0.0028   0.4893   0.9777
   3.500   0.4452   0.00940   0.00371  -0.0074   0.4146   0.9873
   4.000   0.5221   0.00997   0.00397  -0.0123   0.3371   0.9958
   4.500   0.5863   0.01056   0.00426  -0.0147   0.2638   1.0000
   5.000   0.6299   0.01115   0.00459  -0.0128   0.2044   1.0000
   5.500   0.6720   0.01188   0.00507  -0.0106   0.1535   1.0000
   6.000   0.7133   0.01264   0.00567  -0.0081   0.1162   1.0000
   6.500   0.7536   0.01349   0.00640  -0.0054   0.0916   1.0000
   7.000   0.7934   0.01440   0.00724  -0.0026   0.0754   1.0000
   7.500   0.8326   0.01541   0.00822   0.0003   0.0642   1.0000
   8.000   0.8722   0.01643   0.00928   0.0032   0.0563   1.0000
   8.500   0.9107   0.01764   0.01053   0.0060   0.0500   1.0000
   9.000   0.9476   0.01916   0.01207   0.0090   0.0453   1.0000
   9.500   0.9881   0.02033   0.01334   0.0112   0.0412   1.0000
  10.000   1.0239   0.02216   0.01526   0.0139   0.0381   1.0000
  10.500   1.0612   0.02371   0.01694   0.0164   0.0354   1.0000
  11.000   1.0930   0.02605   0.01935   0.0191   0.0331   1.0000
  11.500   1.1246   0.02788   0.02143   0.0220   0.0311   1.0000
  12.000   1.1504   0.02992   0.02361   0.0253   0.0296   1.0000
  12.500   1.1684   0.03335   0.02717   0.0288   0.0283   1.0000
  13.000   1.1768   0.03637   0.03059   0.0328   0.0273   1.0000
  13.500   1.1816   0.04012   0.03466   0.0354   0.0263   1.0000
  14.000   1.1834   0.04451   0.03930   0.0365   0.0254   1.0000
  14.500   1.1830   0.04976   0.04475   0.0362   0.0247   1.0000
  15.000   1.1731   0.05689   0.05209   0.0347   0.0242   1.0000
